RT Ponting,71,155,0,107,12,0,66.35,1,v South Africa,Perth,2005-12-16,1,0,50-99
RT Ponting,11,48,0,29,0,0,37.93,3,v South Africa,Melbourne,2005-12-26,0,0,0-49
RT Ponting,117,298,0,198,13,0,59.09,1,v South Africa,Melbourne,2005-12-26,0,1,100-149
RT Ponting,120,257,0,174,12,1,68.96,2,v South Africa,Sydney,2006-01-02,0,1,100-149
RT Ponting,143,202,1,159,16,0,89.93,4,v South Africa,Sydney,2006-01-02,0,1,100-149
RT Ponting,1,13,0,4,0,0,25,4,v South Africa,Cape Town,2006-03-16,0,0,0-49
RT Ponting,74,178,0,112,8,1,66.07,2,v South Africa,Cape Town,2006-03-16,1,0,50-99
RT Ponting,103,320,0,225,11,0,45.77,1,v South Africa,Durban,2006-03-24,0,1,100-149
RT Ponting,116,273,0,187,12,2,62.03,3,v South Africa,Durban,2006-03-24,0,1,100-149
RT Ponting,20,51,0,32,1,1,62.5,4,v South Africa,Johannesburg,2006-03-31,0,0,0-49
RT Ponting,34,62,0,40,5,1,85,2,v South Africa,Johannesburg,2006-03-31,0,0,0-49
RT Ponting,21,40,0,32,3,0,65.62,2,v Bangladesh,Fatullah,2006-04-09,0,0,0-49
RT Ponting,118,367,1,253,13,0,46.64,4,v Bangladesh,Fatullah,2006-04-09,0,1,100-149
RT Ponting,52,128,0,94,4,1,55.31,2,v Bangladesh,Chattogram,2006-04-16,1,0,50-99
RT Ponting,60,131,1,85,4,0,70.58,3,v England,Brisbane,2006-11-23,1,0,50-99
RT Ponting,196,464,0,319,24,0,61.44,1,v England,Brisbane,2006-11-23,0,1,150-199
RT Ponting,49,95,0,65,5,0,75.38,4,v England,Adelaide,2006-12-01,0,0,0-49
RT Ponting,142,353,0,245,12,0,57.95,2,v England,Adelaide,2006-12-01,0,1,100-149
RT Ponting,2,19,0,11,0,0,18.18,1,v England,Perth,2006-12-14,0,0,0-49
RT Ponting,75,194,0,128,9,0,58.59,3,v England,Perth,2006-12-14,1,0,50-99
